699	992	1
2072	1481	1
2352	2353	1
4431	1138	1
1344	1261	1
1344	1078	1
4473	563	1
1535	1539	1
4654	1030	1
5034	324	1
1076	1258	1
4631	1073	1
1096	897	1
443	310	1
443	401	1
1093	111	1
5191	2320	1
1052	485	1
2882	999	1
3324	220	1
6234	1609	1
877	1816	1
2228	376	1
2831	1594	1
4150	716	1
1643	1069	1
1620	1032	1
570	686	1
1392	1267	1
1194	178	1
2377	1940	1
5352	2039	1
2374	847	1
2013	737	1
2374	1012	1
543	548	1
543	991	1
4278	1216	1
374	1836	1
699	2238	1
958	194	1
958	869	1
4231	1568	1
5278	871	1
750	748	1
6425	1334	1
307	1405	1
1514	2364	1
690	723	1
1296	3	1
2706	261	1
459	1322	1
1148	1069	1
1467	1396	1
3117	2379	1
5201	2034	1
6832	2557	1
244	556	1
5235	1111	1
2665	760	1
5613	841	1
2033	1348	1
4704	2437	1
4942	1284	1
160	220	1
3647	705	1
1404	2702	1
3225	609	1
156	370	1
1183	335	1
3985	1683	1
936	695	1
775	1565	1
534	644	1
536	348	1
1643	3717	1
990	1240	1
346	409	1
746	933	1
746	986	1
1538	513	1
2013	2098	1
5101	902	1
2471	2447	1
6416	1258	1
740	1025	1
492	1590	1
699	1713	1
71	496	1
1141	641	1
508	923	1
1121	668	1
8	9	1
1491	939	1
6157	1778	1
2	1818	1
255	924	1
255	631	1
2841	682	1
4362	1058	1
196	1553	1
214	217	1
618	640	1
230	1379	1
1279	1479	1
771	1332	1
1216	1654	1
322	1103	1
546	663	1
905	852	1
1366	589	1
4241	859	1
5329	1525	1
1788	371	1
1364	220	1
6527	1619	1
3577	586	1
1362	841	1
4231	942	1
1498	2087	1
1535	1300	1
5012	829	1
286	992	1
307	1779	1
1514	1462	1
4631	298	1
3130	588	1
1052	1313	1
3324	951	1
5008	721	1
4200	423	1
4178	1202	1
1426	1091	1
818	3929	1
1065	1107	1
6814	1333	1
1904	1374	1
992	2236	1
163	12	1
2377	1079	1
2013	1430	1
5935	2081	1
6704	2364	1
768	552	1
942	2327	1
6722	2364	1
783	1209	1
1632	1157	1
802	2677	1
351	540	1
4716	816	1
5542	1302	1
934	789	1
285	531	1
3975	748	1
1156	2092	1
4632	760	1
5067	2	1
5048	841	1
743	781	1
1108	1303	1
5408	1347	1
682	850	1
508	1898	1
816	2389	1
1480	4	1
408	211	1
408	108	1
1055	852	1
1474	1107	1
981	2349	1
5527	2069	1
1208	475	1
961	2207	1
4940	853	1
1183	1035	1
194	1277	1
1649	37	1
5340	1073	1
2590	800	1
992	1291	1
1275	3670	1
1778	1619	1
322	286	1
1536	643	1
1146	1218	1
904	418	1
334	1410	1
114	235	1
1346	1678	1
1971	1153	1
699	1013	1
2069	1110	1
4679	691	1
270	512	1
1743	7	1
693	409	1
4605	2090	1
3110	593	1
84	1184	1
44	261	1
483	693	1
1678	325	1
3468	905	1
43	1559	1
2642	2384	1
1052	496	1
1735	1569	1
398	1284	1
236	552	1
2634	702	1
1221	1034	1
4552	713	1
5848	2105	1
1011	1282	1
1011	1501	1
1862	902	1
2183	87	1
772	409	1
4948	852	1
1191	113	1
2013	512	1
2013	679	1
2374	789	1
378	304	1
543	638	1
543	529	1
963	890	1
962	238	1
3384	640	1
958	792	1
